,0
0,30
1,40
2,39
3,41
4,40
5,40
6,38
7,38
8,38
9,40
10,43
11,46
12,47
13,48
14,47
15,45
16,41
17,36
18,31
19,28
20,28
21,32
22,37
23,40
24,39
25,34
26,26
27,19
28,15
29,17
30,22
31,29
32,34
33,39
34,41
35,42
36,42
37,42
38,41
39,40
40,39
41,39
42,38
43,37
44,36
45,35
46,36
47,37
48,40
49,42
50,43
51,42
52,39
53,37
54,35
55,34
56,32
57,28
58,24
59,20
60,18
61,19
62,23
63,27
64,31
65,34
66,34
67,32
68,30
69,29
70,29
71,31
72,34
73,37
74,39
75,39
76,38
77,37
78,35
79,35
80,36
81,37
82,37
83,37
84,37
85,38
86,38
87,38
88,38
89,37
90,36
91,36
92,37
93,39
94,42
95,45
96,46
97,46
98,44
99,40
100,35
101,30
102,27
103,28
104,32
105,38
106,42
107,42
108,37
109,31
110,26
111,25
112,27
113,32
114,36
115,38
116,37
117,35
118,34
119,33
120,33
121,34
122,35
123,35
124,35
125,35
126,35
127,34
128,34
129,33
130,33
131,33
132,34
133,35
134,35
135,33
136,29
137,24
138,19
139,16
140,16
141,20
142,27
143,33
144,35
145,32
146,26
147,19
148,15
149,18
150,25
151,32
152,37
153,40
154,40
155,41
156,43
157,46
158,48
159,48
160,47
161,45
162,44
163,44
164,44
165,43
166,41
167,39
168,38
169,40
170,45
171,52
172,56
173,55
174,50
175,44
176,39
177,37
178,36
179,35
180,33
181,31
182,31
183,33
184,37
185,39
186,39
187,34
188,26
189,20
190,18
191,21
192,28
193,34
194,37
195,37
196,35
197,33
198,32
199,32
200,33
201,33
202,33
203,31
204,30
205,30
206,30
207,32
208,33
209,35
210,35
211,34
212,32
213,30
214,29
215,29
216,29
217,29
218,28
219,26
220,23
221,19
222,18
223,19
224,22
225,25
226,26
227,23
228,18
229,15
230,17
231,24
232,34
233,43
234,47
235,46
236,42
237,39
238,38
239,40
240,42
241,44
242,46
243,46
244,46
245,45
246,44
247,42
248,41
249,41
250,43
251,46
252,49
253,51
254,50
255,48
256,46
257,45
258,45
259,45
260,42
261,39
262,36
263,34
264,33
265,32
266,28
267,23
268,18
269,16
270,20
271,27
272,34
273,38
274,39
275,38
276,36
277,34
278,34
279,34
280,35
281,34
282,33
283,32
284,32
285,32
286,32
287,33
288,33
289,33
290,33
291,33
292,33
293,33
294,33
295,33
296,33
297,34
298,35
299,35
300,33
301,29
302,24
303,20
304,19
305,20
306,24
307,27
308,30
309,31
310,31
311,31
312,32
313,33
314,35
315,37
316,38
317,38
318,38
319,38
320,38
321,39
322,39
323,39
324,38
325,38
326,38
327,37
328,37
329,36
330,36
331,37
332,38
333,41
334,42
335,41
336,39
337,37
338,36
339,36
340,37
341,38
342,40
343,40
344,40
345,39
346,35
347,31
348,27
349,25
350,25
351,27
352,32
353,37
354,41
355,42
356,41
357,40
358,38
359,37
360,36
361,35
362,35
363,34
364,34
365,34
366,35
367,35
368,35
369,36
370,37
371,37
372,38
373,38
374,37
375,36
376,34
377,33
378,31
379,29
380,26
381,24
382,23
383,23
384,24
385,27
386,31
387,34
388,37
389,38
390,38
391,39
392,39
393,39
394,40
395,40
396,40
397,40
398,39
399,39
400,39
401,39
402,39
403,38
404,38
405,37
406,36
407,36
408,35
409,34
410,34
411,34
412,36
413,39
414,43
415,46
416,47
417,45
418,41
419,37
420,35
421,35
422,38
423,39
424,37
425,32
426,26
427,22
428,22
429,25
430,29
431,32
432,32
433,31
434,29
435,29
436,31
437,33
438,35
439,36
440,35
441,35
442,35
443,36
444,36
445,37
446,36
447,36
448,34
449,33
450,33
451,33
452,33
453,33
454,32
455,30
456,28
457,26
458,24
459,22
460,22
461,22
462,23
463,25
464,27
465,29
466,31
467,33
468,35
469,36
470,37
471,38
472,38
473,37
474,37
475,37
476,37
477,37
478,38
479,39
480,39
481,40
482,40
483,40
484,40
485,40
486,40
487,39
488,38
489,38
490,38
491,38
492,40
493,42
494,44
495,44
496,42
497,38
498,35
499,33
500,34
501,36
502,39
503,40
504,39
505,35
506,28
507,23
508,20
509,21
510,25
511,30
512,34
513,35
514,34
515,32
516,31
517,31
518,33
519,35
520,37
521,37
522,37
523,37
524,37
525,38
526,39
527,39
528,38
529,36
530,35
531,33
532,32
533,32
534,33
535,33
536,32
537,30
538,28
539,28
540,29
541,30
542,31
543,29
544,25
545,22
546,20
547,22
548,27
549,33
550,38
551,39
552,38
553,36
554,35
555,35
556,38
557,40
558,42
559,42
560,42
561,41
562,40
563,39
564,39
565,39
566,39
567,40
568,40
569,40
570,40
571,39
572,38
573,37
574,37
575,36
576,36
577,37
578,37
579,37
580,37
581,37
582,38
583,39
584,41
585,42
586,41
587,40
588,37
589,35
590,34
591,34
592,35
593,35
594,35
595,34
596,33
597,32
598,32
599,32
600,32
601,33
602,33
603,34
604,36
605,38
606,39
607,37
608,35
609,32
610,31
611,31
612,33
613,33
614,30
615,24
616,17
617,12
618,11
619,14
620,19
621,23
622,26
623,28
624,29
625,31
626,33
627,34
628,35
629,35
630,35
631,35
632,35
633,35
634,35
635,35
636,35
637,36
638,37
639,37
640,37
641,37
642,38
643,38
644,38
645,38
646,36
647,35
648,33
649,34
650,37
651,41
652,44
653,44
654,42
655,37
656,34
657,33
658,35
659,37
660,39
661,40
662,40
663,38
664,36
665,33
666,30
667,29
668,30
669,34
670,38
671,41
672,42
673,41
674,39
675,37
676,36
677,36
678,36
679,36
680,37
681,36
682,35
683,35
684,35
685,36
686,37
687,39
688,39
689,37
690,35
691,32
692,30
693,29
694,29
695,29
696,28
697,25
698,21
699,19
700,19
701,23
702,28
703,32
704,33
705,30
706,27
707,25
708,26
709,29
710,33
711,36
712,36
713,35
714,34
715,34
716,35
717,37
718,40
719,43
720,45
721,47
722,48
723,48
724,48
725,47
726,45
727,44
728,43
729,43
730,43
731,43
732,42
733,41
734,39
735,38
736,38
737,39
738,38
739,35
740,30
741,26
742,26
743,31
744,39
745,45
746,46
747,41
748,33
749,26
750,24
751,26
752,31
753,35
754,37
755,37
756,36
757,35
758,34
759,34
760,34
761,34
762,34
763,33
764,33
765,33
766,33
767,34
768,35
769,35
770,34
771,32
772,30
773,28
774,27
775,27
776,26
