,0
0,31
1,26
2,26
3,26
4,28
5,30
6,32
7,34
8,37
9,41
10,45
11,48
12,49
13,47
14,43
15,38
16,34
17,31
18,29
19,27
20,26
21,26
22,26
23,26
24,26
25,24
26,22
27,20
28,20
29,21
30,23
31,25
32,27
33,29
34,31
35,33
36,36
37,38
38,39
39,40
40,40
41,40
42,40
43,40
44,40
45,39
46,38
47,37
48,36
49,35
50,35
51,34
52,34
53,33
54,33
55,33
56,33
57,33
58,33
59,33
60,33
61,33
62,33
63,33
64,33
65,34
66,34
67,34
68,33
69,31
70,29
71,27
72,26
73,27
74,28
75,29
76,30
77,31
78,31
79,30
80,30
81,30
82,31
83,33
84,34
85,35
86,36
87,35
88,33
89,31
90,31
91,33
92,38
93,45
94,51
95,53
96,51
97,46
98,40
99,34
100,31
101,28
102,25
103,22
104,19
105,17
106,16
107,17
108,19
109,23
110,26
111,29
112,31
113,31
114,32
115,33
116,35
117,38
118,41
119,43
120,43
121,42
122,41
123,40
124,39
125,38
126,38
127,37
128,36
129,35
130,34
131,33
132,33
133,33
134,33
135,33
136,34
137,34
138,34
139,34
140,33
141,33
142,32
143,31
144,31
145,31
146,31
147,32
148,33
149,33
150,32
151,30
152,29
153,27
154,26
155,26
156,27
157,26
158,26
159,25
160,26
161,27
162,30
163,33
164,36
165,38
166,39
167,38
168,35
169,33
170,33
171,35
172,39
173,43
174,45
175,44
176,41
177,36
178,32
179,29
180,27
181,26
182,25
183,25
184,25
185,25
186,26
187,26
188,27
189,28
190,30
191,31
192,33
193,34
194,35
195,37
196,39
197,40
198,42
199,42
200,42
201,41
202,40
203,40
204,39
205,38
206,38
207,37
208,37
209,37
210,37
211,36
212,36
213,35
214,35
215,34
216,33
217,33
218,32
219,32
220,31
221,31
222,31
223,31
224,32
225,32
226,32
227,32
228,32
229,30
230,29
231,28
232,27
233,28
234,30
235,31
236,31
237,29
238,27
239,24
240,23
241,25
242,27
243,30
244,32
245,31
246,30
247,29
248,29
249,31
250,34
251,36
252,36
253,34
254,31
255,28
256,26
257,26
258,28
259,29
260,31
261,32
262,32
263,33
264,33
265,32
266,32
267,32
268,32
269,33
270,35
271,36
272,37
273,37
274,37
275,38
276,38
277,39
278,40
279,41
280,40
281,40
282,39
283,39
284,38
285,39
286,39
287,39
288,39
289,39
290,38
291,37
292,36
293,35
294,34
295,34
296,33
297,33
298,33
299,33
300,32
301,32
302,32
303,32
304,32
305,32
306,32
307,33
308,32
309,31
310,29
311,27
312,25
313,24
314,24
315,26
316,28
317,29
318,28
319,27
320,26
321,26
322,28
323,32
324,35
325,36
326,36
327,35
328,33
329,32
330,32
331,33
332,34
333,35
334,36
335,35
336,34
337,32
338,31
339,30
340,30
341,30
342,30
343,31
344,32
345,33
346,33
347,33
348,32
349,32
350,33
351,34
352,36
353,38
354,39
355,39
356,39
357,38
358,37
359,37
360,36
361,36
362,36
363,37
364,38
365,38
366,39
367,39
368,39
369,39
370,39
371,38
372,37
373,36
374,34
375,33
376,32
377,32
378,32
379,32
380,32
381,32
382,31
383,31
384,30
385,30
386,29
387,29
388,29
389,29
390,29
391,29
392,29
393,30
394,29
395,29
396,28
397,27
398,26
399,27
400,28
401,29
402,30
403,30
404,30
405,29
406,29
407,30
408,32
409,34
410,35
411,35
412,36
413,37
414,40
415,43
416,45
417,45
418,42
419,37
420,33
421,29
422,27
423,26
424,26
425,26
426,27
427,28
428,30
429,32
430,33
431,34
432,34
433,34
434,35
435,35
436,36
437,37
438,36
439,35
440,33
441,32
442,32
443,33
444,35
445,36
446,37
447,37
448,37
449,37
450,36
451,36
452,36
453,36
454,36
455,35
456,35
457,34
458,33
459,32
460,32
461,32
462,32
463,32
464,32
465,32
466,31
467,31
468,30
469,30
470,30
471,30
472,31
473,31
474,31
475,30
476,29
477,28
478,27
479,26
480,27
481,28
482,30
483,31
484,33
485,34
486,33
487,32
488,31
489,30
490,31
491,32
492,32
493,31
494,29
495,26
496,25
497,26
498,31
499,38
500,44
501,46
502,45
503,40
504,35
505,33
506,33
507,35
508,37
509,38
510,36
511,34
512,31
513,28
514,27
515,27
516,28
517,29
518,31
519,32
520,32
521,31
522,31
523,31
524,32
525,35
526,38
527,41
528,43
529,43
530,43
531,43
532,42
533,40
534,39
535,37
536,35
537,34
538,32
539,31
540,30
541,30
542,30
543,31
544,31
545,31
546,32
547,32
548,32
549,33
550,33
551,33
552,34
553,34
554,35
555,35
556,35
557,35
558,34
559,32
560,30
561,28
562,26
563,25
564,24
565,24
566,24
567,24
568,26
569,28
570,30
571,32
572,34
573,35
574,35
575,35
576,34
577,32
578,29
579,27
580,26
581,27
582,30
583,35
584,39
585,41
586,40
587,38
588,34
589,31
590,29
591,27
592,26
593,25
594,25
595,26
596,28
597,30
598,31
599,32
600,34
601,36
602,38
603,40
604,42
605,43
606,45
607,46
608,45
609,44
610,42
611,39
612,37
613,35
614,34
615,34
616,34
617,35
618,35
619,35
620,34
621,34
622,33
623,32
624,31
625,31
626,32
627,32
628,32
629,32
630,33
631,33
632,34
633,35
634,34
635,33
636,32
637,30
638,29
639,28
640,27
641,26
642,24
643,22
644,22
645,22
646,25
647,28
648,32
649,35
650,38
651,39
652,38
653,37
654,36
655,36
656,40
657,46
658,52
659,56
660,56
661,52
662,45
663,38
664,33
665,30
666,31
667,34
668,37
669,37
670,34
671,28
672,21
673,16
674,14
675,14
676,16
677,18
678,20
679,22
680,27
681,32
682,37
683,40
684,42
685,40
686,38
687,35
688,33
689,33
690,33
691,33
692,33
693,33
694,33
695,32
696,32
697,33
698,33
699,33
700,34
701,34
702,34
703,33
704,33
705,32
706,32
707,32
708,32
709,33
710,33
711,34
712,34
713,34
714,33
715,32
716,30
717,27
718,25
719,24
720,24
721,24
722,25
723,26
724,27
725,29
726,31
727,33
728,33
729,34
730,34
731,33
732,33
733,33
734,32
735,31
736,30
737,30
738,30
739,31
740,32
741,32
742,32
743,33
744,34
745,35
746,36
747,36
748,34
749,30
750,28
751,27
752,28
753,29
754,31
755,32
756,33
757,36
758,39
759,44
760,47
761,49
762,48
763,46
764,43
765,41
766,40
767,39
768,39
769,38
770,37
771,36
772,35
773,34
774,34
775,34
776,34
777,34
778,34
779,33
780,33
781,32
782,32
783,33
784,33
785,33
786,33
787,32
788,32
789,32
790,33
791,33
792,33
793,32
794,31
795,29
796,28
797,27
798,26
799,25
800,24
801,23
802,23
803,25
804,27
805,30
806,33
807,35
808,36
809,37
810,36
811,35
812,32
813,30
814,30
815,33
816,40
817,47
818,52
819,53
820,48
821,41
822,35
823,31
824,29
825,27
826,24
827,19
828,15
829,14
830,16
831,20
832,25
833,28
834,30
835,31
836,32
837,34
838,36
839,38
840,39
