,0
0,32
1,27
2,28
3,25
4,24
5,22
6,24
7,26
8,28
9,30
10,30
11,29
12,28
13,28
14,30
15,33
16,36
17,36
18,35
19,32
20,28
21,24
22,22
23,22
24,22
25,23
26,24
27,23
28,22
29,21
30,21
31,22
32,24
33,27
34,29
35,31
36,32
37,31
38,30
39,28
40,27
41,26
42,26
43,27
44,27
45,26
46,25
47,24
48,24
49,25
50,26
51,28
52,30
53,31
54,31
55,30
56,29
57,28
58,27
59,25
60,23
61,20
62,18
63,15
64,14
65,14
66,18
67,25
68,32
69,38
70,40
71,38
72,35
73,32
74,29
75,29
76,29
77,29
78,29
79,29
80,30
81,30
82,30
83,29
84,27
85,24
86,23
87,23
88,25
89,26
90,26
91,24
92,21
93,20
94,20
95,20
96,20
97,19
98,19
99,20
100,23
101,27
102,32
103,36
104,37
105,37
106,35
107,33
108,31
109,29
110,29
111,30
112,31
113,32
114,32
115,31
116,29
117,27
118,26
119,25
120,24
121,23
122,21
123,19
124,17
125,18
126,19
127,21
128,22
129,22
130,21
131,20
132,20
133,21
134,21
135,22
136,24
137,25
138,27
139,28
140,29
141,29
142,30
143,32
144,35
145,37
146,39
147,39
148,37
149,33
150,29
151,26
152,25
153,25
154,25
155,27
156,28
157,30
158,30
159,29
160,27
161,25
162,23
163,23
164,24
165,25
166,26
167,26
168,28
169,30
170,32
171,34
172,36
173,35
174,34
175,33
176,32
177,32
178,31
179,29
180,27
181,25
182,23
183,23
184,24
185,25
186,26
187,27
188,26
189,25
190,25
191,26
192,26
193,25
194,23
195,20
196,19
197,19
198,21
199,22
200,24
201,25
202,25
203,25
204,25
205,24
206,23
207,22
208,23
209,25
210,31
211,39
212,46
213,49
214,48
215,41
216,31
217,22
218,17
219,16
220,18
221,20
222,22
223,23
224,21
225,20
226,19
227,19
228,20
229,22
230,24
231,25
232,27
233,27
234,28
235,27
236,27
237,26
238,25
239,25
240,25
241,26
242,27
243,27
244,27
245,27
246,27
247,28
248,29
249,29
250,29
251,29
252,29
253,29
254,29
255,28
256,26
257,23
258,20
259,17
260,16
261,16
262,17
263,20
264,23
265,26
266,30
267,35
268,39
269,42
270,43
271,41
272,38
273,34
274,31
275,30
276,30
277,32
278,33
279,34
280,32
281,29
282,25
283,21
284,21
285,22
286,26
287,28
288,28
289,26
290,23
291,20
292,17
293,15
294,15
295,16
296,18
297,22
298,26
299,31
300,33
301,33
302,31
303,29
304,27
305,26
306,26
307,27
308,28
309,29
310,29
311,28
312,27
313,26
314,26
315,26
316,27
317,28
318,27
319,26
320,23
321,22
322,21
323,22
324,23
325,24
326,25
327,26
328,29
329,31
330,34
331,34
332,33
333,30
334,27
335,24
336,23
337,23
338,23
339,24
340,26
341,28
342,31
343,35
344,37
345,37
346,35
347,32
348,29
349,28
350,28
