,0
0,28
1,35
2,33
3,33
4,32
5,33
6,33
7,35
8,35
9,35
10,33
11,32
12,31
13,32
14,33
15,33
16,31
17,27
18,22
19,18
20,16
21,17
22,19
23,20
24,20
25,19
26,16
27,15
28,16
29,19
30,25
31,32
32,37
33,40
34,41
35,40
36,39
37,38
38,38
39,39
40,40
41,42
42,42
43,41
44,39
45,38
46,38
47,41
48,47
49,52
50,55
51,53
52,48
53,40
54,33
55,29
56,28
57,27
58,27
59,27
60,27
61,27
62,28
63,31
64,33
65,36
66,37
67,37
68,36
69,36
70,36
71,36
72,36
73,35
74,34
75,33
76,32
77,33
78,33
79,33
80,34
81,34
82,34
83,33
84,30
85,27
86,24
87,21
88,19
89,17
90,15
91,13
92,14
93,17
94,24
95,32
96,37
97,40
98,39
99,38
100,38
101,39
102,40
103,40
104,39
105,38
106,38
107,39
108,39
109,39
110,38
111,37
112,38
113,42
114,46
115,50
116,50
117,47
118,40
119,34
120,29
121,27
122,27
123,28
124,29
125,30
126,29
127,29
128,29
129,30
130,31
131,32
132,33
133,34
134,35
135,36
136,36
137,37
138,38
139,38
140,38
141,36
142,35
143,33
144,33
145,33
146,34
147,34
148,33
149,30
150,28
151,26
152,26
153,26
154,26
155,24
156,21
157,18
158,16
159,17
160,20
161,23
162,26
163,28
164,30
165,32
166,34
167,36
168,37
169,38
170,37
171,37
172,36
173,35
174,34
175,36
176,40
177,46
178,53
179,57
180,54
181,46
182,35
183,25
184,19
185,18
186,20
187,22
188,23
189,24
190,25
191,27
192,30
193,33
194,35
195,36
196,36
197,36
198,36
199,35
200,35
201,34
202,34
203,34
204,36
205,37
206,38
207,37
208,35
209,32
210,30
211,29
212,30
213,31
214,33
215,33
216,34
217,33
218,33
219,31
220,27
221,23
222,19
223,16
224,15
225,16
226,20
227,25
228,28
229,31
230,31
231,32
232,33
233,34
234,36
235,38
236,39
237,39
238,39
239,39
240,39
241,38
242,39
243,40
244,44
245,48
246,52
247,53
248,51
249,45
250,38
251,30
252,24
253,20
254,19
255,20
256,24
257,28
258,30
259,32
260,32
261,32
262,33
263,35
264,37
265,39
266,40
267,39
268,38
269,37
270,37
271,36
272,36
273,35
274,34
275,33
276,32
277,33
278,34
279,36
280,36
281,35
282,32
283,28
284,25
285,23
286,23
287,23
288,22
289,19
290,15
291,13
292,13
293,15
294,18
295,24
296,30
297,37
298,43
299,45
300,45
301,41
302,37
303,34
304,33
305,34
306,37
307,39
308,40
309,41
310,41
311,42
312,43
313,43
314,42
315,42
316,42
317,44
318,46
319,48
320,47
321,41
322,34
323,25
324,17
325,12
326,11
327,13
328,19
329,26
330,32
331,36
332,38
333,39
334,40
335,40
336,41
337,41
338,42
339,42
340,42
341,41
342,41
343,40
344,40
345,41
346,43
347,44
348,43
