,0
0,32
1,29
2,37
3,42
4,47
5,49
6,51
7,51
8,51
9,48
10,44
11,37
12,31
13,27
14,25
15,26
16,30
17,33
18,36
19,36
20,34
21,30
22,26
23,23
24,24
25,27
26,32
27,37
28,38
29,37
30,33
31,29
32,26
33,27
34,30
35,33
36,35
37,33
38,30
39,27
40,28
41,31
42,38
43,43
44,45
45,43
46,37
47,32
48,31
49,35
50,40
51,45
52,45
53,40
54,33
55,27
56,24
57,25
58,30
59,36
60,42
61,46
62,47
63,44
64,36
65,26
66,17
67,12
68,14
69,23
70,36
71,48
72,54
73,55
74,54
75,53
76,53
77,53
78,50
79,45
80,37
81,29
82,25
83,26
84,30
85,34
86,36
87,35
88,32
89,28
90,25
91,25
92,27
93,30
94,33
95,32
96,28
97,24
98,21
99,22
100,27
101,33
102,38
103,39
104,36
105,32
106,28
107,27
108,29
109,33
110,38
111,41
112,41
113,39
114,35
115,32
116,32
117,34
118,38
119,41
120,42
121,39
122,34
123,29
124,26
125,27
126,31
127,38
128,45
129,50
130,52
131,48
132,39
133,28
134,18
135,12
136,13
137,21
138,32
139,43
140,51
141,55
142,56
143,55
144,54
145,51
146,46
147,39
148,33
149,28
150,26
151,28
152,32
153,36
154,38
155,36
156,31
157,26
158,22
159,22
160,28
161,35
162,42
163,45
164,42
165,35
166,27
167,23
168,24
169,27
170,31
171,33
172,32
173,29
174,27
175,27
176,29
177,32
178,36
179,39
180,42
181,43
182,41
183,37
184,33
185,33
186,35
187,38
188,39
189,36
190,32
191,27
192,25
193,28
194,36
195,45
196,52
197,55
198,53
199,45
200,35
201,24
202,16
203,14
204,17
205,25
206,36
207,46
208,53
209,56
210,56
211,55
212,53
213,50
214,43
215,34
216,26
217,21
218,21
219,24
220,30
221,35
222,38
223,37
224,34
225,29
226,25
227,25
228,29
229,35
230,39
231,39
232,33
233,24
234,19
235,19
236,24
237,31
238,35
239,33
240,28
241,23
242,23
243,28
244,36
245,43
246,47
247,46
248,40
249,34
250,31
251,33
252,38
253,43
254,45
255,41
256,34
257,27
258,24
259,27
260,35
261,44
262,52
263,55
264,53
265,46
266,38
267,30
268,25
269,23
270,25
271,29
272,36
273,43
274,48
275,51
276,51
277,47
278,42
279,37
280,32
281,27
282,24
283,23
284,25
285,29
286,34
287,38
288,38
289,34
290,29
291,24
292,22
293,23
294,27
295,33
296,39
297,41
298,39
299,35
300,31
301,29
302,30
303,33
304,36
305,35
306,30
307,24
308,19
309,20
310,28
311,38
312,46
313,47
314,41
315,32
316,26
317,28
318,35
319,43
320,47
321,43
322,35
323,27
324,23
325,25
326,31
327,39
328,47
329,52
330,55
331,54
332,50
333,44
334,38
335,33
336,30
337,29
338,31
339,35
340,40
341,44
342,46
343,43
344,39
345,35
346,32
347,31
348,30
349,29
350,29
351,29
352,31
353,34
354,35
355,35
356,32
357,28
358,25
359,24
360,24
361,26
362,30
363,36
364,40
365,42
366,40
367,34
368,27
369,23
370,23
371,27
372,32
373,36
374,38
375,39
376,39
377,38
378,37
379,35
380,33
381,32
382,32
383,34
384,37
385,41
386,43
387,43
388,41
389,36
390,31
391,27
392,26
393,29
394,35
395,42
396,48
397,50
398,47
399,41
400,33
401,27
402,24
403,25
404,30
405,37
406,43
407,48
408,50
409,49
410,46
411,42
412,39
413,35
414,30
415,26
416,22
417,22
418,25
419,29
420,33
421,34
422,31
423,28
424,24
425,24
426,27
427,32
428,38
429,42
430,42
431,40
432,35
433,30
434,28
435,28
436,31
437,36
438,38
439,38
440,35
441,30
442,27
443,28
444,32
445,37
446,41
447,41
448,37
449,32
450,29
451,31
452,37
453,42
454,44
455,40
456,33
457,27
458,24
459,27
460,35
461,45
462,52
463,54
464,50
465,40
466,27
467,16
468,9
469,10
470,17
471,30
472,42
473,51
474,53
475,51
476,47
477,43
478,38
479,33
480,30
481,28
482,29
483,33
484,37
485,40
486,40
487,37
488,34
489,33
490,36
491,40
492,44
493,44
494,40
495,32
496,24
497,20
498,21
499,24
500,27
501,30
502,30
503,31
504,31
505,33
506,36
507,39
508,41
509,41
510,40
511,39
512,38
513,38
514,37
515,36
516,35
517,34
518,34
519,35
520,37
521,38
522,38
523,37
524,35
525,33
526,32
527,32
528,34
529,37
530,39
531,40
532,38
533,35
534,33
535,34
536,38
537,44
538,49
539,51
540,49
541,46
542,41
543,38
544,36
545,36
546,35
547,33
548,31
549,29
550,28
551,29
552,30
553,32
554,32
555,30
556,29
557,30
558,31
559,34
560,35
561,35
562,32
563,28
564,24
565,21
566,20
567,20
568,20
569,21
570,23
571,25
572,29
573,33
574,38
575,42
576,43
577,42
578,40
579,37
580,35
581,36
582,38
583,40
584,42
585,42
586,42
587,40
588,39
589,37
590,35
591,35
592,34
593,34
594,34
595,35
596,35
597,34
598,34
599,34
600,35
601,36
602,38
603,39
604,39
605,39
606,41
607,44
608,47
609,50
610,49
611,46
612,40
613,33
614,28
615,25
616,25
617,28
618,32
619,36
620,37
621,36
622,33
623,29
624,27
625,26
626,28
627,29
628,30
629,30
630,29
631,30
632,30
633,30
634,28
635,26
636,24
637,25
638,30
639,35
640,38
641,39
642,36
643,32
644,30
645,31
646,34
647,37
648,40
649,42
650,41
651,40
652,38
653,37
654,36
655,36
656,36
657,36
658,36
659,38
660,40
661,42
662,44
663,44
664,42
665,39
666,35
667,32
668,30
669,30
670,32
671,34
672,38
673,40
674,42
675,42
676,41
677,39
678,39
679,40
680,41
681,40
682,37
683,33
684,30
685,31
686,33
687,36
688,36
689,33
690,29
691,25
692,24
693,26
694,29
695,31
696,33
697,33
698,33
699,34
700,33
701,30
702,26
703,21
704,19
705,21
706,27
707,33
708,38
709,39
710,38
711,35
712,34
713,36
714,38
715,41
716,43
717,43
718,41
719,39
720,37
721,35
722,35
723,36
724,38
725,41
726,42
727,42
728,40
729,39
730,37
731,35
732,33
733,31
734,29
735,29
736,29
737,31
738,34
739,36
740,39
741,42
742,45
743,47
744,48
745,45
746,39
747,32
748,26
749,22
750,23
751,28
752,34
753,39
754,43
755,43
756,41
757,37
758,33
759,29
760,26
761,25
762,27
763,30
764,33
765,36
766,36
767,34
768,29
769,23
770,19
771,19
772,22
773,27
774,33
775,36
776,37
777,36
778,34
779,34
780,35
781,37
782,39
783,41
784,41
785,41
786,39
787,38
788,37
789,36
790,36
791,37
792,39
793,41
794,42
795,41
796,40
797,39
798,37
799,35
800,33
801,31
802,29
803,29
804,30
805,32
806,35
807,37
808,41
809,45
810,49
811,52
812,51
813,48
814,42
815,35
816,29
817,25
818,24
819,26
820,30
821,34
822,37
823,35
824,31
825,26
826,22
827,21
828,23
829,27
830,31
831,35
832,37
833,38
834,37
835,33
836,27
837,22
838,19
839,20
840,26
841,34
842,38
843,38
844,34
845,29
846,26
847,28
848,34
849,41
850,46
851,47
852,45
853,42
854,39
855,38
856,38
857,39
858,40
859,41
860,41
861,41
862,40
863,39
864,38
865,36
866,34
867,31
868,28
869,28
