,0
0,36
1,37
2,36
3,35
4,34
5,32
6,32
7,32
8,33
9,34
10,36
11,38
12,39
13,40
14,39
15,39
16,38
17,37
18,35
19,33
20,31
21,29
22,28
23,29
24,30
25,32
26,33
27,34
28,35
29,35
30,36
31,37
32,38
33,39
34,40
35,40
36,40
37,39
38,38
39,37
40,36
41,35
42,34
43,33
44,32
45,32
46,33
47,34
48,34
49,34
50,33
51,32
52,30
53,30
54,30
55,31
56,32
57,34
58,34
59,34
60,33
61,31
62,30
63,30
64,30
65,31
66,32
67,33
68,35
69,37
70,39
71,40
72,41
73,40
74,38
75,36
76,34
77,33
78,33
79,33
80,33
81,32
82,31
83,30
84,30
85,30
86,31
87,31
88,32
89,33
90,33
91,33
92,33
93,34
94,34
95,35
96,35
97,35
98,34
99,33
100,32
101,30
102,29
103,28
104,27
105,27
106,27
107,28
108,29
109,30
110,32
111,34
112,35
113,37
114,38
115,38
116,39
117,40
118,40
119,40
120,39
121,38
122,37
123,36
124,35
125,34
126,33
127,32
128,31
129,30
130,30
131,29
132,29
133,29
134,28
135,28
136,27
137,27
138,27
139,27
140,28
141,29
142,30
143,32
144,33
145,35
146,36
147,36
148,35
149,33
150,32
151,32
152,33
153,34
154,34
155,34
156,33
157,32
158,33
159,33
160,34
161,34
162,34
163,33
164,32
165,31
166,30
167,30
168,29
169,29
170,29
171,29
172,30
173,31
174,32
175,33
176,33
177,34
178,35
179,35
180,36
181,36
182,36
183,36
184,35
185,34
186,33
187,32
188,32
189,32
190,33
191,33
192,34
193,34
194,34
195,34
196,34
197,35
198,35
199,36
200,36
201,36
202,36
203,37
204,37
205,37
206,37
207,37
208,36
209,35
210,34
211,32
212,31
213,31
214,31
215,32
216,31
217,30
218,29
219,27
220,27
221,28
222,30
223,32
224,34
225,34
226,35
227,35
228,35
229,35
230,35
231,35
232,35
233,34
234,34
235,34
236,34
237,34
238,34
239,34
240,34
241,34
242,34
243,34
244,35
245,35
246,34
247,33
248,32
249,31
250,31
251,33
252,35
253,37
254,38
255,37
256,36
257,36
258,37
259,38
260,39
261,40
262,40
263,39
264,37
265,35
266,34
267,33
268,33
269,33
270,34
271,34
272,35
273,36
274,36
275,35
276,35
277,34
278,35
279,35
280,36
281,37
282,36
283,36
284,35
285,34
286,34
287,34
288,33
289,33
290,32
291,31
292,30
293,29
294,28
295,27
296,26
297,24
298,24
299,24
300,25
301,27
302,29
303,31
304,32
305,33
306,32
307,31
308,30
309,30
310,31
311,32
312,32
313,32
314,32
315,31
316,31
317,31
318,31
319,32
320,32
321,32
322,31
323,31
324,31
325,31
326,32
327,32
328,33
329,34
330,34
331,34
332,34
333,34
334,34
335,35
336,35
337,36
338,37
339,37
340,36
341,35
342,34
343,32
344,31
345,31
346,31
347,32
348,33
349,35
350,36
351,37
352,37
353,38
354,38
355,38
356,39
357,39
358,39
359,39
360,38
361,38
362,37
363,36
364,35
365,34
366,33
367,32
368,31
369,31
370,30
371,29
372,28
373,27
374,26
375,24
376,22
377,22
378,22
379,24
380,26
381,29
382,32
383,34
384,34
385,33
386,32
387,32
388,32
