,0
0,32
1,34
2,34
3,34
4,33
5,32
6,30
7,29
8,28
9,27
10,26
11,25
12,24
13,23
14,22
15,22
16,21
17,21
18,21
19,21
20,21
21,21
22,21
23,21
24,21
25,21
26,21
27,20
28,20
29,20
30,20
31,21
32,21
33,21
34,21
35,21
36,21
37,20
38,19
39,19
40,18
41,18
42,17
43,17
44,16
45,15
46,15
47,14
48,14
49,14
50,15
51,17
52,18
53,20
54,21
55,22
56,23
57,24
58,25
59,26
60,28
61,29
62,30
63,31
64,32
65,32
66,33
67,34
68,35
69,36
70,38
71,41
72,44
73,47
74,50
75,51
76,51
77,51
78,50
79,49
80,48
81,46
82,45
83,43
84,42
85,41
86,40
87,40
88,39
89,39
90,38
91,37
92,36
93,36
94,35
95,34
96,32
97,31
98,30
99,28
100,27
101,26
102,25
103,24
104,24
105,23
106,22
107,22
108,21
109,21
110,20
111,20
112,20
113,20
114,20
115,20
116,20
117,20
118,20
119,20
120,20
121,20
122,20
123,20
124,20
125,20
126,19
127,17
128,15
129,13
130,11
131,10
132,10
133,10
134,10
135,10
136,11
137,12
138,14
139,16
140,18
141,21
142,23
143,25
144,27
145,29
146,30
147,31
148,31
149,32
150,32
151,32
152,32
153,32
154,32
155,32
156,32
157,32
158,33
159,33
160,33
161,32
162,31
163,30
164,31
165,33
166,36
167,41
168,44
169,46
170,46
171,46
172,45
173,44
174,44
175,44
176,44
177,43
178,43
179,44
180,44
181,45
182,44
183,43
184,40
185,38
186,36
187,35
188,34
189,33
190,32
191,32
192,31
193,30
194,28
195,27
196,26
197,25
198,23
199,22
200,22
201,21
202,21
203,21
204,21
205,21
206,20
207,20
208,19
209,18
210,18
211,18
212,18
213,19
214,19
215,19
216,19
217,19
218,19
219,19
220,20
221,20
222,20
223,20
224,19
225,18
226,16
227,15
228,14
229,15
230,16
231,18
232,19
233,20
234,21
235,21
236,22
237,23
238,24
239,26
240,27
241,29
242,29
243,29
244,29
245,30
246,31
247,33
248,35
249,36
250,36
251,37
252,38
253,39
254,41
255,42
256,44
257,44
258,44
259,44
260,43
261,41
262,40
263,39
264,38
265,37
266,36
267,36
268,35
269,34
270,34
271,33
272,33
273,33
274,33
275,33
276,32
277,32
278,32
279,32
280,31
281,31
282,30
283,30
284,29
285,28
286,28
287,27
288,27
289,26
290,25
291,25
292,24
293,24
294,23
295,23
296,23
297,22
298,22
299,22
300,22
301,22
302,22
303,23
304,23
305,24
306,23
307,23
308,23
309,22
310,22
311,23
312,23
313,24
314,23
315,22
316,20
317,18
318,17
319,17
320,17
321,17
322,17
323,17
324,17
325,17
326,18
327,19
328,19
329,20
330,20
331,21
332,22
333,24
334,26
335,28
336,29
337,30
338,31
339,31
340,31
341,31
342,31
343,31
344,31
345,31
346,31
347,30
348,30
349,30
350,31
351,34
352,38
353,42
354,45
355,48
356,48
357,48
358,47
359,46
360,45
361,44
362,42
363,41
364,39
365,38
366,38
367,38
368,39
369,38
370,38
371,36
372,34
373,33
374,32
375,32
376,31
377,30
378,30
379,29
380,28
381,27
382,26
383,25
384,25
385,24
386,24
387,23
388,23
389,23
390,23
391,22
392,22
393,22
394,22
395,22
396,23
397,23
