,0
0,36
1,23
2,26
3,24
4,25
5,26
6,30
7,33
8,36
9,36
10,35
11,33
12,33
13,35
14,39
15,42
16,41
17,37
18,30
19,22
20,19
21,20
22,25
23,30
24,34
25,36
26,38
27,39
28,41
29,41
30,41
31,39
32,38
33,38
34,39
35,39
36,39
37,38
38,35
39,32
40,29
41,27
42,27
43,27
44,28
45,28
46,29
47,29
48,28
49,28
50,28
51,30
52,34
53,38
54,43
55,45
56,43
57,37
58,28
59,20
60,17
61,21
62,31
63,44
64,54
65,56
66,51
67,42
68,34
69,31
70,31
71,33
72,33
73,30
74,26
75,21
76,18
77,17
78,19
79,21
80,24
81,26
82,27
83,26
84,25
85,25
86,26
87,30
88,33
89,35
90,36
91,34
92,33
93,34
94,36
95,38
96,38
97,33
98,27
99,21
100,21
101,24
102,28
103,31
104,30
105,27
106,26
107,28
108,35
109,45
110,53
111,56
112,53
113,46
114,39
115,36
116,35
117,36
118,36
119,35
120,32
121,30
122,28
123,26
124,24
125,23
126,23
127,25
128,30
129,34
130,38
131,39
132,39
133,39
134,39
135,38
136,36
137,32
138,25
139,18
140,14
141,16
142,25
143,38
144,52
145,62
146,63
147,56
148,44
149,34
150,27
151,25
152,26
153,26
154,25
155,23
156,23
157,23
158,25
159,27
160,28
161,27
162,25
163,23
164,20
165,20
166,22
167,27
168,31
169,34
170,35
171,35
172,35
173,35
174,36
175,37
176,36
177,33
178,28
179,25
180,23
181,25
182,28
183,32
184,35
185,38
186,40
187,41
188,41
189,40
190,40
191,39
192,39
193,40
194,40
195,38
196,35
197,32
198,28
199,26
200,26
201,27
202,28
203,30
204,31
205,31
206,30
207,29
208,28
209,29
210,32
211,36
212,40
213,43
214,44
215,41
216,36
217,30
218,25
219,25
220,29
221,37
222,45
223,49
224,48
225,43
226,37
227,32
228,30
229,29
230,27
231,24
232,21
233,19
234,18
235,20
236,23
237,26
238,28
239,30
240,31
241,31
242,29
243,26
244,24
245,23
246,24
247,27
248,31
249,34
250,36
251,37
252,38
253,40
254,43
255,45
256,44
257,40
258,33
259,26
260,21
261,20
262,22
263,27
264,31
265,35
266,37
267,38
268,38
269,37
270,37
271,37
272,38
273,39
274,39
275,37
276,35
277,32
278,30
279,29
280,28
281,29
282,30
283,31
284,32
285,31
286,29
287,28
288,28
289,30
290,33
291,37
292,41
293,45
294,47
295,47
296,44
297,38
298,31
299,26
300,24
301,27
302,33
303,40
304,44
305,44
306,41
307,36
308,31
309,27
310,23
311,20
312,17
313,16
314,18
315,22
316,28
317,32
318,34
319,33
320,31
321,28
322,26
323,25
324,26
325,28
326,30
327,32
328,33
329,32
330,31
331,33
332,37
333,44
334,50
335,52
336,48
337,39
338,28
339,19
340,16
341,18
342,23
343,28
344,31
345,32
346,32
347,33
348,35
349,37
350,39
351,40
352,40
353,39
354,37
355,35
356,33
357,32
358,31
359,30
360,30
361,30
362,29
363,28
364,28
365,27
366,27
367,27
368,27
369,29
370,31
371,34
372,37
373,40
374,44
375,47
376,48
377,45
378,38
379,30
380,24
381,24
382,32
383,42
384,49
385,50
386,45
387,36
388,29
389,25
390,23
391,23
392,24
393,24
394,24
395,26
396,28
397,30
398,30
399,28
400,26
401,24
402,23
403,23
404,22
405,23
406,23
407,25
408,27
409,28
410,30
411,32
412,36
413,42
414,47
415,49
416,45
417,36
418,26
419,20
420,19
421,24
422,31
423,36
424,39
425,39
426,38
427,36
428,34
429,34
430,36
431,39
432,41
433,42
434,41
435,38
436,36
437,33
438,31
439,29
440,29
441,29
442,31
443,32
444,32
445,30
446,27
447,25
448,26
449,28
450,32
451,35
452,36
453,37
454,38
455,42
456,45
457,45
458,41
459,33
460,26
461,23
462,28
463,39
464,49
465,55
466,54
467,46
468,36
469,28
470,22
471,20
472,19
473,21
474,22
475,24
476,25
477,26
478,26
479,26
480,26
481,27
482,28
483,28
484,27
485,25
486,24
487,24
488,26
489,28
490,30
491,33
492,36
493,40
494,44
495,45
496,41
497,34
498,26
499,21
500,20
501,23
502,27
503,31
504,35
505,38
506,40
507,41
508,40
509,38
510,37
511,37
512,38
513,40
514,41
515,39
516,37
517,33
518,30
519,28
520,28
521,28
522,30
523,32
524,33
525,32
526,30
527,26
528,23
529,23
530,27
531,33
532,41
533,46
534,48
535,47
536,42
537,35
538,26
539,19
540,18
541,25
542,36
543,48
544,56
545,56
546,49
547,41
548,34
549,30
550,27
551,25
552,23
553,21
