,0
0,34
1,38
2,40
3,41
4,39
5,36
6,33
7,31
8,32
9,35
10,40
11,46
12,49
13,48
14,44
15,39
16,33
17,28
18,25
19,24
20,23
21,22
22,20
23,18
24,15
25,13
26,13
27,16
28,20
29,25
30,28
31,29
32,29
33,28
34,28
35,27
36,26
37,25
38,25
39,26
40,29
41,31
42,32
43,31
44,30
45,30
46,34
47,40
48,45
49,47
50,44
51,38
52,33
53,30
54,31
55,32
56,32
57,29
58,23
59,17
60,14
61,14
62,18
63,23
64,29
65,35
66,38
67,41
68,42
69,41
70,40
71,38
72,37
73,36
74,35
75,36
76,36
77,36
78,36
79,35
80,33
81,32
82,31
83,31
84,32
85,33
86,34
87,34
88,33
89,33
90,32
91,31
92,31
93,32
94,33
95,35
96,37
97,38
98,40
99,41
100,41
101,40
102,37
103,33
104,31
105,32
106,36
107,44
108,50
109,53
110,51
111,45
112,36
113,28
114,22
115,18
116,17
117,17
118,18
119,18
120,18
121,18
122,19
123,22
124,25
125,28
126,30
127,29
128,28
129,25
130,23
131,21
132,21
133,21
134,24
135,26
136,28
137,30
138,31
139,33
140,37
141,42
142,45
143,46
144,41
145,32
146,23
147,18
148,20
149,26
150,34
151,38
152,35
153,28
154,20
155,17
156,19
157,26
158,33
159,37
160,40
161,40
162,39
163,39
164,39
165,39
166,38
167,38
168,37
169,36
170,35
171,34
172,34
173,33
174,33
175,33
176,33
177,33
178,33
179,33
180,33
181,33
182,33
183,33
184,33
185,32
186,32
187,32
188,33
189,34
190,36
191,38
192,39
193,40
194,38
195,35
196,32
197,30
198,31
199,36
200,43
201,50
202,53
203,52
204,46
205,39
206,33
207,28
208,25
209,22
210,19
211,17
212,15
213,13
214,13
215,14
216,17
217,22
218,26
219,30
220,31
221,31
222,29
223,26
224,23
225,21
226,20
227,21
228,22
229,25
230,27
231,29
232,32
233,36
234,41
235,46
236,50
237,50
238,46
239,39
240,31
241,25
242,24
243,27
244,31
245,33
246,30
247,25
248,20
249,17
250,18
251,22
252,26
253,30
254,33
255,36
256,39
257,41
258,42
259,42
260,41
261,39
262,38
263,37
264,36
265,35
266,34
267,32
268,32
269,31
270,31
271,31
272,32
273,33
274,34
275,34
276,33
277,32
278,31
279,30
280,30
281,31
282,33
283,35
284,37
285,39
286,40
287,40
288,39
289,36
290,32
291,30
292,30
293,35
294,42
295,49
296,53
297,51
298,46
299,39
300,33
301,28
302,24
303,20
304,17
305,16
306,15
307,16
308,17
309,18
310,20
311,23
312,26
313,28
314,30
315,30
316,29
317,27
318,24
319,23
320,23
321,25
322,27
323,29
324,30
325,30
326,31
327,34
328,40
329,47
330,51
331,51
332,45
333,36
334,28
335,25
336,27
337,31
338,33
339,32
340,26
341,19
342,15
343,15
344,19
345,24
346,29
347,33
348,35
349,37
350,38
351,39
352,39
353,38
354,37
355,36
356,35
357,34
358,33
359,32
360,31
361,31
362,31
363,31
364,32
365,33
366,34
367,35
368,35
369,35
370,35
371,34
372,33
373,33
374,32
375,32
376,33
377,34
378,34
379,35
380,36
381,37
382,37
383,36
384,33
385,29
386,28
387,31
388,38
389,46
390,51
391,52
392,48
393,42
394,37
395,34
396,32
397,29
398,26
399,22
400,18
401,17
402,17
403,17
404,18
405,19
406,21
407,24
408,27
409,30
410,31
411,31
412,29
413,26
414,22
415,20
416,20
417,21
418,24
419,27
420,30
421,33
422,38
423,43
424,48
425,50
426,48
427,43
428,38
429,35
430,33
431,33
432,32
433,30
434,26
435,20
436,16
437,14
438,16
439,21
440,26
441,29
442,31
443,31
444,31
445,32
446,34
447,36
448,38
449,39
450,40
451,40
452,38
453,36
454,34
455,34
456,34
457,34
458,34
459,34
460,34
461,33
462,33
463,33
464,33
465,33
466,32
467,32
468,32
469,32
470,32
471,32
472,34
473,36
474,38
475,40
476,42
477,42
478,39
479,35
480,30
481,28
482,29
483,36
484,44
485,52
486,56
487,56
488,50
489,42
490,33
491,24
492,19
493,16
494,15
495,16
496,17
497,19
498,20
499,22
500,23
501,25
502,27
503,28
504,27
505,26
506,23
507,21
508,20
509,20
510,22
511,23
512,24
513,25
514,27
515,31
516,38
517,46
518,52
519,52
520,46
521,37
522,29
523,25
524,25
525,29
526,32
527,33
528,31
529,26
530,21
531,18
532,18
533,20
