,0
0,-0.7312815035333077
1,0.2970439725458826
2,-0.11957540236504312
3,0.12403644760171832
4,-0.03807512888780448
5,0.04856588316140319
6,-0.02593594071879972
7,0.03180447102391261
8,-0.016689964501201558
9,0.035433004357008614
10,-0.008958225226115715
11,0.026258730311896246
12,0.006897019013941391
13,0.017772739905117883
14,0.012473828557601428
15,0.03127503077893533
16,0.020984864848098007
17,0.004311031416735162
18,0.030334306561056155
19,0.002209271847764796
20,0.03029574413203293
21,0.01813995622928403
22,0.014459741014951205
23,0.030487188102735617
24,0.021123209701241
25,-9.716304827169604e-05
26,0.030752994557815938
27,0.009867291168301423
28,0.016943416341008422
29,0.0044295667930837525
30,0.01770561944660109
31,0.01964274535033062
32,0.0056552873385042595
33,0.04254704284924231
34,0.016608655897094836
35,0.039314111597458234
36,-0.008380415019873194
37,0.00335238237053815
38,0.024715976259993878
39,-0.009094531792909673
40,0.0464437496526097
41,-0.04475738409744253
42,0.0523782098671998
43,-0.00355213622592319
44,0.046179950576191266
45,0.02199870415451134
46,0.004443446932132257
47,0.020641377156416972
48,0.015961374005489
49,0.014863532365013928
50,0.04492494420783149
51,-0.012367130760139464
52,0.03538310125059164
53,0.009265069303011403
54,0.019870354977879215
55,0.00765993457623565
56,0.02786921309280678
57,0.011279576002616335
58,0.025570399746713244
59,-0.00905224857346124
60,0.03529867217291077
61,0.00603698556033728
62,0.023916217909706224
63,0.010998539346182754
64,0.02588275910787903
65,-0.0074317060994358005
66,0.03934095176658291
67,-0.0011958437920413202
68,0.025345090814269125
69,0.018412148297843694
70,0.015823085479414592
71,0.029112126088029718
72,0.006622658282316882
73,-0.0005912835370995786
74,0.03239027447117339
75,-0.014667437412759788
76,0.004426956548925643
77,-0.07006299937628475
78,-0.08081369062289903
79,-0.05371219905284192
80,-0.08898930715223871
81,-0.0002935306862422324
82,-0.05103470968682768
83,0.011810873465867852
84,0.008151401666936226
85,-0.009118003126830303
86,0.02163491908341534
87,-0.01695370087637782
88,0.013332633324593668
89,0.0150523610471593
