,0
0,35
1,34
2,32
3,31
4,32
5,34
6,37
7,39
8,39
9,39
10,38
11,39
12,39
13,39
14,39
15,39
16,38
17,38
18,38
19,38
20,38
21,38
22,38
23,38
24,38
25,38
26,39
27,39
28,38
29,36
30,33
31,31
32,29
33,29
34,28
35,26
36,21
37,15
38,11
39,10
40,12
41,15
42,16
43,15
44,12
45,11
46,13
47,20
48,28
49,35
50,40
51,42
52,42
53,41
54,41
55,42
56,43
57,44
58,45
59,45
60,44
61,44
62,43
63,43
64,44
65,45
66,46
67,46
68,47
69,47
70,47
71,46
72,45
73,45
74,45
75,45
76,46
77,46
78,46
79,46
80,44
81,42
82,40
83,38
84,36
85,35
86,34
87,33
88,32
89,30
90,27
91,25
92,24
93,25
94,28
95,31
96,34
97,35
98,35
99,34
100,34
101,34
102,33
103,33
104,33
105,34
106,36
107,38
108,39
109,40
110,40
111,40
112,38
113,37
114,37
115,37
116,37
117,38
118,38
119,38
120,38
121,39
122,39
123,39
124,38
125,36
126,33
127,30
128,27
129,24
130,21
131,17
132,12
133,7
134,5
135,7
136,11
137,17
138,21
139,23
140,24
141,25
142,27
143,31
144,36
145,39
146,41
147,42
148,41
149,42
150,42
151,44
152,45
153,45
154,45
155,44
156,44
157,44
158,44
159,44
160,44
161,45
162,46
163,47
164,47
165,47
166,46
167,44
168,43
169,42
170,43
171,43
172,44
173,45
174,44
175,43
176,39
177,34
178,30
179,27
180,28
181,29
182,31
183,32
184,30
185,27
186,26
187,26
188,27
189,30
190,32
191,32
192,32
193,31
194,31
195,31
196,32
197,34
198,34
199,34
200,33
201,33
202,34
203,36
204,37
205,39
206,40
207,40
208,40
209,40
210,40
211,40
212,40
213,40
214,40
215,40
216,40
217,40
218,39
219,38
220,36
221,33
222,30
223,28
224,25
225,22
226,18
227,14
228,11
229,12
230,14
231,15
232,15
233,13
234,11
235,12
236,16
237,24
238,34
239,41
240,45
241,46
242,45
243,44
244,44
245,45
246,46
247,47
248,47
249,47
250,46
251,45
252,44
253,44
254,45
255,46
256,47
257,47
258,46
259,45
260,44
261,44
262,44
263,45
264,46
265,47
266,47
267,47
268,47
269,46
270,45
271,43
272,40
273,37
274,35
275,34
276,33
277,33
278,31
279,27
280,24
281,22
282,23
283,26
284,30
285,32
286,33
287,33
288,33
289,33
290,35
291,36
292,38
293,38
294,38
295,38
296,37
297,37
298,37
299,36
300,36
