,0
799,50
800,43
801,37
802,32
803,31
804,31
805,32
806,32
807,32
808,30
809,29
810,28
811,28
812,28
813,27
814,27
815,27
816,28
817,29
818,29
819,29
820,29
821,29
822,30
823,31
824,34
825,36
826,36
827,36
828,35
829,34
830,36
831,39
832,43
833,45
834,44
835,41
836,36
837,32
838,31
839,31
840,33
841,35
842,35
843,34
844,31
845,28
846,26
847,26
848,27
849,28
850,30
851,32
852,32
853,33
854,33
855,32
856,31
857,31
858,30
859,30
860,29
861,29
862,29
863,30
864,30
865,30
866,30
867,30
868,31
869,31
870,32
871,33
872,34
873,34
874,35
875,35
876,35
877,35
878,36
879,36
880,36
881,34
882,33
883,32
884,32
885,34
886,36
887,37
888,38
889,37
890,35
891,34
892,34
893,34
894,34
895,34
896,34
897,34
898,34
899,34
900,34
901,34
902,34
903,35
904,36
905,36
906,37
907,37
908,36
909,35
910,34
911,34
912,34
913,35
914,37
915,37
916,38
917,37
918,36
919,35
920,35
921,35
922,36
923,38
924,41
925,43
926,44
927,44
928,41
929,38
930,36
931,34
932,34
933,35
934,36
935,36
936,35
937,33
938,29
939,26
940,25
941,25
942,26
943,27
944,28
945,29
946,30
947,30
948,30
949,30
950,29
951,28
952,28
953,27
954,28
955,29
956,31
957,33
958,34
959,34
960,34
961,34
962,33
963,33
964,33
965,33
966,33
967,33
968,32
969,32
970,31
971,30
972,29
973,29
974,29
975,29
976,29
977,30
978,31
979,33
980,34
981,34
982,35
983,36
984,37
985,37
986,36
987,36
988,35
989,35
990,35
991,36
992,37
993,38
994,38
995,38
996,37
997,37
998,37
999,37
1000,37
1001,37
1002,37
1003,37
1004,37
1005,38
1006,38
1007,37
1008,36
1009,35
1010,35
1011,35
1012,35
1013,35
1014,35
1015,33
1016,33
1017,33
1018,35
1019,38
1020,40
1021,41
1022,40
1023,37
1024,34
1025,31
1026,30
1027,31
1028,33
1029,36
1030,39
1031,40
1032,38
1033,35
1034,31
1035,27
1036,25
1037,25
1038,26
1039,28
1040,30
1041,31
1042,31
1043,30
1044,30
1045,29
1046,30
1047,31
1048,33
1049,35
1050,36
1051,36
1052,35
1053,34
1054,33
1055,33
1056,33
1057,34
1058,34
1059,34
1060,34
1061,34
1062,35
1063,36
1064,37
1065,38
1066,38
1067,38
1068,37
1069,36
1070,35
1071,35
1072,34
1073,33
1074,33
1075,32
1076,31
1077,30
1078,30
1079,29
1080,30
1081,31
1082,32
1083,33
1084,34
1085,34
1086,34
1087,34
1088,35
1089,36
1090,37
1091,38
1092,38
1093,37
1094,35
1095,32
1096,30
1097,29
1098,29
1099,30
1100,32
1101,33
1102,34
1103,34
1104,33
1105,32
1106,31
1107,30
1108,30
1109,31
1110,32
1111,34
1112,36
1113,37
1114,38
1115,37
1116,35
1117,32
1118,31
1119,30
1120,31
1121,34
1122,36
1123,38
1124,39
1125,37
1126,35
1127,33
1128,32
1129,33
1130,34
1131,36
1132,38
1133,38
1134,38
1135,37
1136,35
1137,35
1138,35
1139,36
1140,38
1141,40
1142,40
1143,39
1144,37
1145,36
1146,34
1147,33
1148,32
1149,31
1150,30
1151,29
1152,29
1153,29
1154,30
1155,31
1156,33
1157,34
1158,34
1159,34
1160,33
1161,32
1162,32
1163,32
1164,33
1165,34
1166,35
1167,36
1168,35
1169,33
1170,30
1171,28
1172,26
1173,27
1174,30
1175,33
1176,36
1177,37
1178,37
1179,36
1180,35
1181,35
1182,35
1183,35
1184,35
1185,35
1186,35
1187,36
1188,36
1189,36
1190,35
1191,34
1192,33
1193,33
1194,34
1195,36
1196,37
1197,37
1198,36
1199,33
1200,31
1201,31
1202,33
1203,35
1204,38
1205,40
1206,40
1207,38
1208,35
1209,33
1210,33
1211,33
1212,34
1213,36
1214,36
1215,34
1216,32
1217,29
1218,27
1219,26
1220,26
1221,28
1222,29
1223,31
1224,32
1225,32
1226,32
1227,32
1228,31
1229,31
1230,33
1231,35
1232,38
1233,40
1234,41
1235,41
1236,39
1237,37
1238,36
1239,35
1240,35
1241,35
1242,35
1243,34
1244,34
1245,34
1246,35
1247,35
1248,35
1249,35
1250,35
1251,35
1252,35
1253,36
1254,35
1255,35
1256,34
1257,34
1258,33
1259,33
1260,33
1261,35
1262,37
1263,38
1264,38
1265,36
1266,32
1267,28
1268,26
1269,26
1270,29
1271,32
1272,36
1273,37
1274,38
1275,37
1276,36
1277,34
1278,33
1279,31
1280,31
1281,30
1282,31
1283,31
1284,32
1285,32
1286,33
1287,33
1288,33
1289,34
1290,35
1291,36
1292,36
1293,36
1294,36
1295,36
1296,37
1297,38
1298,38
1299,39
1300,39
1301,39
1302,38
1303,38
1304,38
1305,38
1306,38
1307,39
1308,40
1309,40
1310,38
1311,35
1312,32
1313,29
1314,28
1315,28
1316,31
1317,34
1318,36
1319,37
1320,36
1321,33
1322,30
1323,29
1324,28
1325,29
1326,31
1327,32
1328,33
1329,33
1330,33
1331,32
1332,32
1333,31
1334,31
1335,31
1336,31
1337,32
1338,33
1339,33
1340,33
1341,31
1342,30
1343,29
1344,30
1345,31
1346,33
1347,34
1348,34
1349,33
1350,32
1351,31
1352,31
1353,30
1354,30
1355,29
1356,29
1357,28
1358,26
1359,24
1360,22
1361,21
1362,22
1363,23
1364,25
1365,27
1366,29
1367,30
1368,31
1369,32
1370,34
1371,35
1372,36
1373,37
1374,38
1375,38
1376,39
1377,40
1378,41
1379,42
1380,43
1381,44
1382,44
1383,44
1384,44
1385,44
1386,43
1387,42
1388,40
1389,37
1390,34
1391,32
1392,32
1393,34
1394,37
1395,40
1396,42
1397,43
1398,42
1399,39
1400,36
1401,33
1402,31
1403,32
1404,34
1405,37
1406,38
1407,37
1408,35
1409,32
1410,31
1411,30
1412,31
1413,31
1414,31
1415,31
1416,30
1417,31
1418,31
1419,32
1420,33
1421,33
1422,33
1423,32
1424,32
1425,32
1426,33
1427,33
1428,32
1429,32
1430,31
1431,32
1432,32
1433,33
1434,33
1435,32
1436,31
1437,31
1438,31
1439,32
1440,33
1441,34
1442,34
1443,33
1444,31
1445,30
1446,29
1447,30
1448,32
1449,34
1450,35
1451,35
1452,35
1453,33
1454,31
1455,30
1456,27
1457,25
1458,24
1459,23
1460,24
1461,26
1462,29
1463,32
1464,33
1465,33
1466,33
1467,33
1468,33
1469,33
1470,34
1471,35
1472,36
1473,37
1474,39
1475,40
1476,40
1477,39
1478,37
1479,35
1480,35
1481,36
1482,37
1483,38
1484,38
1485,36
1486,35
1487,36
1488,37
1489,39
1490,41
1491,41
1492,40
1493,38
1494,36
1495,34
1496,34
1497,35
1498,37
1499,38
1500,39
1501,38
1502,36
1503,34
1504,32
1505,31
1506,32
1507,32
1508,33
1509,33
1510,33
1511,32
1512,32
1513,32
1514,33
1515,34
1516,35
1517,35
1518,35
1519,35
1520,34
1521,34
1522,32
1523,31
1524,31
1525,31
1526,31
1527,32
1528,33
1529,34
1530,34
1531,35
1532,35
1533,35
1534,36
1535,37
1536,37
1537,36
1538,36
1539,35
1540,34
1541,35
1542,36
1543,37
1544,37
1545,36
1546,34
1547,31
1548,29
1549,29
1550,29
1551,31
1552,32
1553,32
1554,31
1555,31
1556,31
1557,32
1558,32
1559,33
1560,33
1561,33
1562,33
1563,34
1564,35
1565,35
1566,35
1567,35
1568,34
1569,34
1570,33
1571,32
1572,31
1573,30
1574,30
1575,30
1576,31
1577,31
1578,30
1579,30
1580,30
1581,30
1582,32
1583,35
1584,37
1585,39
1586,39
1587,38
1588,38
1589,38
1590,39
1591,41
1592,43
1593,43
1594,41
1595,37
1596,32
1597,29
1598,29
1599,30
1600,32
1601,34
1602,34
1603,33
1604,32
1605,32
1606,32
1607,34
1608,35
1609,36
1610,37
1611,36
1612,35
1613,34
1614,33
1615,32
1616,31
1617,31
1618,30
1619,31
1620,31
1621,32
1622,33
1623,34
1624,34
1625,35
1626,35
1627,36
1628,36
1629,36
1630,37
1631,37
1632,36
1633,35
1634,35
1635,35
1636,36
1637,38
1638,40
1639,41
1640,41
1641,40
1642,39
1643,37
1644,35
1645,33
1646,31
1647,29
1648,29
1649,29
1650,30
1651,31
1652,32
1653,33
1654,33
1655,33
1656,33
1657,33
1658,34
1659,35
1660,36
1661,37
1662,37
1663,38
1664,37
1665,36
1666,34
1667,32
1668,31
1669,31
1670,32
1671,33
1672,33
1673,32
1674,31
1675,31
1676,32
1677,34
1678,36
1679,37
1680,36
1681,33
1682,30
1683,28
1684,28
1685,30
1686,32
1687,34
1688,34
1689,33
1690,31
1691,30
1692,29
1693,30
1694,32
1695,34
1696,36
1697,39
1698,40
1699,40
1700,40
1701,37
1702,34
1703,31
1704,28
1705,27
1706,28
1707,29
1708,30
1709,31
1710,32
1711,32
1712,32
1713,32
1714,32
1715,33
1716,33
1717,33
1718,33
1719,32
1720,31
1721,31
1722,32
1723,34
1724,35
1725,36
1726,36
1727,35
1728,34
1729,33
1730,32
1731,32
1732,33
1733,35
1734,37
1735,39
1736,39
1737,38
1738,37
1739,37
1740,38
1741,38
1742,38
1743,38
1744,38
1745,39
1746,40
1747,41
1748,41
1749,40
1750,38
1751,36
1752,34
1753,32
1754,31
1755,30
1756,28
1757,27
1758,26
1759,26
1760,27
1761,28
1762,28
1763,29
1764,30
1765,31
1766,32
1767,32
1768,32
1769,32
1770,33
1771,34
1772,37
1773,41
1774,44
1775,45
1776,44
1777,41
1778,38
1779,37
1780,37
1781,39
1782,41
1783,42
1784,40
1785,37
1786,33
1787,30
1788,29
1789,29
1790,30
1791,30
1792,30
1793,29
1794,28
1795,28
1796,28
1797,29
1798,29
1799,29
1800,29
1801,29
1802,29
1803,29
1804,29
1805,29
1806,30
1807,30
1808,31
1809,31
1810,32
1811,32
1812,33
1813,33
1814,33
1815,33
1816,33
1817,33
1818,33
1819,33
1820,33
1821,33
1822,33
1823,33
1824,34
1825,34
1826,34
1827,34
1828,34
1829,35
1830,37
1831,40
1832,42
1833,44
1834,44
1835,42
1836,40
1837,36
1838,33
1839,31
1840,30
1841,31
1842,33
1843,36
1844,37
1845,38
1846,38
1847,37
1848,36
1849,35
1850,34
1851,32
1852,31
1853,31
1854,31
1855,32
1856,33
1857,33
1858,32
1859,30
1860,29
1861,28
1862,29
1863,31
1864,33
1865,34
1866,33
1867,30
1868,29
1869,29
1870,31
1871,36
1872,42
1873,48
1874,51
1875,51
1876,48
1877,44
1878,40
1879,37
1880,36
1881,37
1882,38
1883,38
1884,37
1885,34
1886,31
1887,29
1888,28
1889,29
1890,29
1891,29
1892,29
1893,28
1894,28
1895,28
1896,29
1897,30
1898,30
1899,30
1900,30
1901,29
1902,29
1903,29
1904,29
1905,30
1906,31
1907,32
1908,33
1909,34
1910,34
1911,35
1912,35
1913,35
1914,35
1915,35
1916,34
1917,34
1918,33
1919,33
1920,33
1921,32
1922,32
1923,32
1924,33
1925,33
1926,33
1927,33
1928,33
1929,33
1930,33
1931,33
1932,33
1933,32
1934,31
1935,30
1936,30
1937,30
1938,32
1939,33
1940,34
1941,34
1942,35
1943,35
1944,35
1945,35
1946,34
1947,33
1948,33
1949,32
1950,33
1951,33
1952,34
1953,36
1954,37
1955,37
1956,36
1957,36
1958,35
1959,36
1960,37
1961,37
1962,37
1963,36
1964,36
1965,37
1966,40
1967,44
1968,48
1969,49
1970,47
1971,42
1972,38
1973,35
1974,34
1975,34
1976,35
1977,35
1978,34
1979,32
1980,29
1981,27
1982,27
1983,28
1984,30
1985,31
1986,32
1987,33
1988,32
1989,32
1990,31
1991,31
1992,31
1993,31
1994,32
1995,33
1996,33
1997,33
1998,32
1999,31
2000,30
2001,30
2002,30
2003,30
2004,31
2005,32
2006,33
2007,33
2008,33
2009,33
2010,33
2011,32
2012,32
2013,32
2014,33
2015,33
2016,34
2017,34
2018,35
2019,35
2020,35
2021,34
2022,34
2023,35
2024,36
2025,39
2026,42
2027,43
2028,43
2029,40
2030,35
2031,30
2032,27
2033,26
2034,28
2035,33
2036,37
2037,41
2038,42
