,0
799,32
800,31
801,29
802,28
803,28
804,31
805,35
806,39
807,42
808,43
809,44
810,45
811,47
812,49
813,52
814,53
815,53
816,51
817,48
818,45
819,44
820,45
821,46
822,47
823,47
824,45
825,42
826,38
827,34
828,31
829,30
830,30
831,32
832,34
833,34
834,34
835,31
836,28
837,26
838,23
839,21
840,19
841,17
842,14
843,12
844,12
845,14
846,15
847,17
848,18
849,19
850,20
851,22
852,25
853,26
854,27
855,26
856,25
857,24
858,24
859,26
860,29
861,32
862,36
863,38
864,38
865,36
866,33
867,28
868,25
869,22
870,22
871,24
872,27
873,30
874,34
875,36
876,38
877,39
878,40
879,40
880,41
881,41
882,42
883,43
884,44
885,45
886,45
887,44
888,42
889,40
890,38
891,37
892,36
893,35
894,35
895,34
896,32
897,30
898,30
899,31
900,34
901,38
902,39
903,36
904,31
905,26
906,23
907,24
908,28
909,33
910,37
911,38
912,37
913,35
914,31
915,28
916,26
917,25
918,25
919,27
920,29
921,32
922,33
923,35
924,35
925,36
926,37
927,39
928,41
929,43
930,43
931,43
932,43
933,42
934,41
935,39
936,38
937,36
938,34
939,32
940,32
941,33
942,35
943,37
944,40
945,42
946,42
947,43
948,44
949,44
950,45
951,45
952,45
953,45
954,43
955,42
956,40
957,38
958,37
959,36
960,35
961,35
962,34
963,33
964,30
965,27
966,25
967,23
968,23
969,23
970,23
971,21
972,17
973,13
974,11
975,12
976,16
977,21
978,25
979,28
980,29
981,28
982,26
983,24
984,23
985,24
986,25
987,27
988,30
989,32
990,33
991,34
992,33
993,33
994,34
995,34
996,36
997,37
998,39
999,41
1000,43
1001,44
1002,45
1003,45
1004,44
1005,44
1006,43
1007,43
1008,43
1009,44
1010,46
1011,49
1012,51
1013,53
1014,53
1015,52
1016,51
1017,49
1018,47
1019,46
1020,45
1021,43
1022,42
1023,40
1024,39
1025,38
1026,37
1027,36
1028,34
1029,31
1030,28
1031,26
1032,23
1033,21
1034,18
1035,16
1036,16
1037,17
1038,19
1039,22
1040,26
1041,27
1042,28
1043,28
1044,26
1045,25
1046,24
1047,23
1048,23
1049,23
1050,23
1051,24
1052,24
1053,24
1054,24
1055,25
1056,27
1057,30
1058,32
1059,34
1060,35
1061,35
1062,35
1063,36
1064,37
1065,37
1066,37
1067,35
1068,33
1069,31
1070,30
1071,31
1072,33
1073,36
1074,40
1075,43
1076,46
1077,48
1078,49
1079,50
1080,50
1081,48
1082,47
1083,45
1084,44
1085,42
1086,40
1087,38
1088,36
1089,35
1090,34
1091,34
1092,33
1093,33
1094,32
1095,31
1096,31
1097,32
1098,34
1099,33
1100,30
1101,24
1102,17
1103,14
1104,14
1105,19
1106,25
1107,31
1108,34
1109,34
1110,33
1111,30
1112,28
1113,27
1114,29
1115,31
1116,35
1117,37
1118,38
1119,38
1120,35
1121,33
1122,32
1123,32
1124,33
1125,35
1126,36
1127,36
1128,35
1129,35
1130,35
1131,36
1132,38
1133,38
1134,38
1135,38
1136,36
1137,35
1138,36
1139,37
1140,40
1141,43
1142,46
1143,49
1144,50
1145,49
1146,47
1147,44
1148,42
1149,40
1150,39
1151,38
1152,37
1153,37
1154,36
1155,34
1156,33
1157,32
1158,30
1159,27
1160,26
1161,25
1162,27
1163,30
1164,30
1165,28
1166,22
1167,16
1168,13
1169,14
1170,18
1171,23
1172,25
1173,25
1174,24
1175,22
1176,21
1177,20
1178,19
1179,19
1180,19
1181,20
1182,22
1183,24
